"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","Participant roster ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","COMMENTS","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","-4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","BATCH.ID","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","MS Batch identifier","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Included for QC","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","PDI.ID","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","Phenomenome sample ID","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Phenomenome sample ID","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","C13.PE.P.16.0_22.6","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","C13.PE.P.16.0_22.6","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Labeled internal standard","","","","","","","","","","","","","","","","2016-08-02 12:06:09.0"
"","C13.PE.16.0_22.6","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","C13.PE.16.0_22.6","-4","-4","-4","-4","","-4","-4","-4","-4","-4","Labeled internal standard","","","","","","","","","","","","","","","","2016-08-02 12:06:09.0"
"","PE.16.0_18.3","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","PtdEtn 16:0/18:3","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 712.5/255.2; Lipid.Class = Phosphatidylethanolamine; Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","PE.16.0_22.6","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","PtdEtn 16:0/22:6","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 762.5/255.2; Lipid.Class = Phosphatidylethanolamine; Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","PE.18.0_20.5","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","PtdEtn 18:0/20:5","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 764.5/301.2; Lipid.Class = Phosphatidylethanolamine; Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","PE.18.0_22.4","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","PtdEtn 18:0/22:4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 794.5/283.2; Lipid.Class = Phosphatidylethanolamine; Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","PE.P.16.0_18.2","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","PlsEtn 16:0/18:2","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 698.5/279.2; Lipid.Class = Plasmenylethanolamine (plasmalogen); Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","PE.P.18.0_20.5","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","PlsEtn 18:0/20:5","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 748.5/301.2; Lipid.Class = Plasmenylethanolamine (plasmalogen); Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","PE.P.16.0_22.4","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","PlsEtn 16:0/22:4","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 750.5/331.2; Lipid.Class = Plasmenylethanolamine (plasmalogen); Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
"","PE.P.16.0_22.6","ADMCPDIPEPEAKHEIGHTS","AD Metabolomics Consortium Phenomenome Phosphatidylethanolamine (PtdEtn), Plasmenylethanolamine (PlsEtn) Flow Injection LC-MS/MS Peak Heights","-4","PlsEtn 16:0/22:6","-4","-4","-4","-4","","-4","-4","-4","-4","-4","MS.MS.Transition = 746.5/327.2; Lipid.Class = Plasmenylethanolamine (plasmalogen); Mode = Negative APCI","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2016-08-02 12:06:09.0"
