"ID","FLDNAME","TBLNAME","CRFNAME","QUESTION","TEXT","STATUS","DEPRULE","TYPE","LENGTH","DECIML","RANGEVAL","RANGESQL","RANGEPRL","UNITS","CODE","NOTES","OBJID","COLID","RANGEJSCPT","NAVJSCPT","FTYPE","TAB","DE","MC","VISIBLE","LOGVISIBLE","MTBLNAME","SUBTBLNAME","POPJSCPT","GRID","DEF","update_stamp"
"","RID","NEUROPATH","NACC Neuropathology Data Form","-4","Participant roster ID","-4","-4","-4","","","-4","-4","-4","-4","-4","The 4 digit roster ID (RID) should be used to merge data","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","NPSEX","NEUROPATH","NACC Neuropathology Data Form","-4","Sex","-4","-4","dropdown","","","-4","-4","-4","","1=Male ; 2=Female","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","RACE","NEUROPATH","NACC Neuropathology Data Form","-4","Race","-4","-4","dropdown","","","-4","-4","-4","","1=White, not Hispanic ; 2=Black, not Hispanic ; 3=Other ; 4=American  Indian or Alaskan Native ; 5=Asian or Pacific Islander ;6=Hispanic","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","RACE_OTH","NEUROPATH","NACC Neuropathology Data Form","-4","Race Other Specified","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","NPDAGE","NEUROPATH","NACC Neuropathology Data Form","-4","Age at death (years)","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","NPDOD","NEUROPATH","NACC Neuropathology Data Form","-4","Date of death","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","PMI","NEUROPATH","NACC Neuropathology Data Form","-4","Postmortem interval (PMI): time between death and brain removal (hours)","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","NPFORMDATE","NEUROPATH","NACC Neuropathology Data Form","-4","Date form completed (MM/DD/YYYY)","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","NPFIX","NEUROPATH","NACC Neuropathology Data Form","-4","8. Fixative ","-4","-4","dropdown","","","-4","-4","-4","","1=1 Formalin ; 2=2 Paraformaldehyde ; 7=7 Other (Specify)","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
"","NPFIXX","NEUROPATH","NACC Neuropathology Data Form","-4","Specify:","-4","-4","text","","","-4","-4","-4","","","","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","-4","2018-04-13 10:34:54.0"
