,SKF_CV10_F00_,SKF_CV10_F01_,SKF_CV10_F02_,SKF_CV10_F03_,SKF_CV10_F04_,SKF_CV10_F05_,SKF_CV10_F06_,SKF_CV10_F07_,SKF_CV10_F08_,SKF_CV10_F09_,SKF_CV20_F00_,SKF_CV20_F01_,SKF_CV20_F02_,SKF_CV20_F03_,SKF_CV20_F04_,SKF_CV20_F05_,SKF_CV20_F06_,SKF_CV20_F07_,SKF_CV20_F08_,SKF_CV20_F09_,SKF_CV20_F10_,SKF_CV20_F11_,SKF_CV20_F12_,SKF_CV20_F13_,SKF_CV20_F14_,SKF_CV20_F15_,SKF_CV20_F16_,SKF_CV20_F17_,SKF_CV20_F18_,SKF_CV20_F19_,SKF_CV50_F00_,SKF_CV50_F01_,SKF_CV50_F02_,SKF_CV50_F03_,SKF_CV50_F04_,SKF_CV50_F05_,SKF_CV50_F06_,SKF_CV50_F07_,SKF_CV50_F08_,SKF_CV50_F09_,SKF_CV50_F10_,SKF_CV50_F11_,SKF_CV50_F12_,SKF_CV50_F13_,SKF_CV50_F14_,SKF_CV50_F15_,SKF_CV50_F16_,SKF_CV50_F17_,SKF_CV50_F18_,SKF_CV50_F19_,SKF_CV50_F20_,SKF_CV50_F21_,SKF_CV50_F22_,SKF_CV50_F23_,SKF_CV50_F24_,SKF_CV50_F25_,SKF_CV50_F26_,SKF_CV50_F27_,SKF_CV50_F28_,SKF_CV50_F29_,SKF_CV50_F30_,SKF_CV50_F31_,SKF_CV50_F32_,SKF_CV50_F33_,SKF_CV50_F34_,SKF_CV50_F35_,SKF_CV50_F36_,SKF_CV50_F37_,SKF_CV50_F38_,SKF_CV50_F39_,SKF_CV50_F40_,SKF_CV50_F41_,SKF_CV50_F42_,SKF_CV50_F43_,SKF_CV50_F44_,SKF_CV50_F45_,SKF_CV50_F46_,SKF_CV50_F47_,SKF_CV50_F48_,SKF_CV50_F49_
13,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
26,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
29,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
37,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
55,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
62,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
75,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
89,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
93,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
100,val,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train
